snr,NRZ
-60, 0.498994
-59, 0.49899
-58, 0.497829
-57, 0.497696
-56, 0.497634
-55, 0.496741
-54, 0.497
-53, 0.498094
-52, 0.497236
-51, 0.495671
-50, 0.496627
-49, 0.495108
-48, 0.494542
-47, 0.494172
-46, 0.493763
-45, 0.492507
-44, 0.492529
-43, 0.491419
-42, 0.489808
-41, 0.488593
-40, 0.487625
-39, 0.485994
-38, 0.483857
-37, 0.481965
-36, 0.479394
-35, 0.477736
-34, 0.475848
-33, 0.471586
-32, 0.468349
-31, 0.465212
-30, 0.460182
-29, 0.455312
-28, 0.449418
-27, 0.443927
-26, 0.43635
-25, 0.428656
-24, 0.421057
-23, 0.412073
-22, 0.4003
-21, 0.389281
-20, 0.375643
-19, 0.361811
-18, 0.345251
-17, 0.328761
-16, 0.308542
-15, 0.286856
-14, 0.263359
-13, 0.23931
-12, 0.213017
-11, 0.186696
-10, 0.158324
-9, 0.130645
-8, 0.104535
-7, 0.079066
-6, 0.056806
-5, 0.037731
-4, 0.022831
-3, 0.012531
-2, 0.006075
-1, 0.002432
0, 7.74E-4
1, 1.98E-4
2, 4.2E-5
3, 4.0E-6
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
