snr,NRZT
-2,-36.5364659125
-1.9,-37.1219783578
-1.8,-37.878119613
-1.7,-38.4163707361
-1.6,-39.1009445427
-1.5,-39.6657581022
-1.4,-40.2687171211
-1.3,-40.9151454683
-1.2,-41.67490653
-1.1,-42.2914755406
-1,-43.0980348568
-0.9,-44.4369706494
-0.8,-45.3760156781
-0.7,-46.1978832399
-0.6,-47.447270606
-0.5,-48.860562134
-0.4,-49.9999956571
-0.3,-50.9690957871
-0.2,-51.5490152569
-0.1,-51.5490152569
0,-53.0102956137
0.1,-53.0102956137
0.2,-53.0102956137
0.3,-53.0102956137
0.4,-53.9793957438
0.5,-55.2287831099
0.6,-56.9896957004
0.7,-56.9896957004
0.8,-56.9896957004
0.9,-56.9896957004
1,-59.9999956571
1.1,
1.2,
1.3,
1.4,
1.5,
1.6,
1.7,
1.8,
1.9,
2,
