snr,RZ
6,-32.1609598643
6.1,-32.7901382155
6.2,-33.2513842497
6.3,-33.8195146899
6.4,-34.3889818206
6.5,-34.8412572199
6.6,-35.4060707795
6.7,-35.9859902492
6.8,-36.5560729202
6.9,-37.1896619846
7,-37.7211286109
7.1,-38.2681329729
7.2,-38.7614792474
7.3,-39.5860688055
7.4,-40.4095817338
7.5,-41.0237247441
7.6,-41.8708620906
7.7,-42.6760580588
7.8,-43.7675027531
7.9,-44.6852064866
8,-45.5284153436
8.1,-46.0205955703
8.2,-46.5757688488
8.3,-46.9896957004
8.4,-48.2390830665
8.5,-48.860562134
8.6,-50.9690957871
8.7,-51.5490152569
8.8,-53.9793957438
8.9,-53.9793957438
9,-53.9793957438
9.1,-53.9793957438
9.2,-59.9999956571
9.3,
9.4,
9.5,
9.6,
9.7,
9.8,
9.9,
10,
