snr,NRZ,NRZT,RZ
-60, 0.49755, 0.497951, 0.498363
-59, 0.497049, 0.497138, 0.497629
-58, 0.497476, 0.496737, 0.496949
-57, 0.496757, 0.497392, 0.496158
-56, 0.495968, 0.496268, 0.496956
-55, 0.495886, 0.495807, 0.496829
-54, 0.495424, 0.495698, 0.496324
-53, 0.494723, 0.494924, 0.49591
-52, 0.494681, 0.494755, 0.495474
-51, 0.494358, 0.493888, 0.494244
-50, 0.493433, 0.492635, 0.494382
-49, 0.492336, 0.492871, 0.493846
-48, 0.491908, 0.491934, 0.492291
-47, 0.489576, 0.489663, 0.49124
-46, 0.489189, 0.490442, 0.489748
-45, 0.4883, 0.487754, 0.488903
-44, 0.485307, 0.486841, 0.48676
-43, 0.485523, 0.484823, 0.485439
-42, 0.482249, 0.482529, 0.485139
-41, 0.48004, 0.480423, 0.48233
-40, 0.478455, 0.479267, 0.479428
-39, 0.475336, 0.476501, 0.477065
-38, 0.472511, 0.473584, 0.475786
-37, 0.468532, 0.469814, 0.471778
-36, 0.464848, 0.466531, 0.468047
-35, 0.461764, 0.462101, 0.464846
-34, 0.456989, 0.45747, 0.462009
-33, 0.452006, 0.45261, 0.456338
-32, 0.445891, 0.446915, 0.45044
-31, 0.439039, 0.440314, 0.445259
-30, 0.430634, 0.433931, 0.437772
-29, 0.421898, 0.42568, 0.429807
-28, 0.413278, 0.416107, 0.421977
-27, 0.403064, 0.40595, 0.413342
-26, 0.39159, 0.395356, 0.402487
-25, 0.378551, 0.382607, 0.390939
-24, 0.364422, 0.369214, 0.378277
-23, 0.349515, 0.354075, 0.363718
-22, 0.331887, 0.335793, 0.348421
-21, 0.311979, 0.317181, 0.330087
-20, 0.29148, 0.297536, 0.311004
-19, 0.269633, 0.275665, 0.289994
-18, 0.245237, 0.251398, 0.267462
-17, 0.219335, 0.226234, 0.242826
-16, 0.192244, 0.199114, 0.216529
-15, 0.164834, 0.172552, 0.190579
-14, 0.136886, 0.144702, 0.162688
-13, 0.109906, 0.118217, 0.135054
-12, 0.084159, 0.091414, 0.107719
-11, 0.061353, 0.067583, 0.082243
-10, 0.041758, 0.047351, 0.059772
-9, 0.025756, 0.030293, 0.04009
-8, 0.014383, 0.017995, 0.024655
-7, 0.007124, 0.009446, 0.013886
-6, 0.002961, 0.004353, 0.006896
-5, 0.001049, 0.001683, 0.002745
-4, 2.7E-4, 4.71E-4, 9.49E-4
-3, 4.8E-5, 1.32E-4, 2.63E-4
-2, 3.0E-6, 2.4E-5, 4.6E-5
-1, 0.0, 1.0E-6, 8.0E-6
0, 0.0, 0.0, 0.0
1, 0.0, 0.0, 0.0
2, 0.0, 0.0, 0.0
3, 0.0, 0.0, 0.0
4, 0.0, 0.0, 0.0
5, 0.0, 0.0, 0.0
6, 0.0, 0.0, 0.0
7, 0.0, 0.0, 0.0
8, 0.0, 0.0, 0.0
9, 0.0, 0.0, 0.0
10, 0.0, 0.0, 0.0
