snr,NRZ
-60, 0.49755
-59, 0.497049
-58, 0.497476
-57, 0.496757
-56, 0.495968
-55, 0.495886
-54, 0.495424
-53, 0.494723
-52, 0.494681
-51, 0.494358
-50, 0.493433
-49, 0.492336
-48, 0.491908
-47, 0.489576
-46, 0.489189
-45, 0.4883
-44, 0.485307
-43, 0.485523
-42, 0.482249
-41, 0.48004
-40, 0.478455
-39, 0.475336
-38, 0.472511
-37, 0.468532
-36, 0.464848
-35, 0.461764
-34, 0.456989
-33, 0.452006
-32, 0.445891
-31, 0.439039
-30, 0.430634
-29, 0.421898
-28, 0.413278
-27, 0.403064
-26, 0.39159
-25, 0.378551
-24, 0.364422
-23, 0.349515
-22, 0.331887
-21, 0.311979
-20, 0.29148
-19, 0.269633
-18, 0.245237
-17, 0.219335
-16, 0.192244
-15, 0.164834
-14, 0.136886
-13, 0.109906
-12, 0.084159
-11, 0.061353
-10, 0.041758
-9, 0.025756
-8, 0.014383
-7, 0.007124
-6, 0.002961
-5, 0.001049
-4, 2.7E-4
-3, 4.8E-5
-2, 3.0E-6
-1, 0.0
0, 0.0
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
