snr,NRZT
-60, 0.497951
-59, 0.497138
-58, 0.496737
-57, 0.497392
-56, 0.496268
-55, 0.495807
-54, 0.495698
-53, 0.494924
-52, 0.494755
-51, 0.493888
-50, 0.492635
-49, 0.492871
-48, 0.491934
-47, 0.489663
-46, 0.490442
-45, 0.487754
-44, 0.486841
-43, 0.484823
-42, 0.482529
-41, 0.480423
-40, 0.479267
-39, 0.476501
-38, 0.473584
-37, 0.469814
-36, 0.466531
-35, 0.462101
-34, 0.45747
-33, 0.45261
-32, 0.446915
-31, 0.440314
-30, 0.433931
-29, 0.42568
-28, 0.416107
-27, 0.40595
-26, 0.395356
-25, 0.382607
-24, 0.369214
-23, 0.354075
-22, 0.335793
-21, 0.317181
-20, 0.297536
-19, 0.275665
-18, 0.251398
-17, 0.226234
-16, 0.199114
-15, 0.172552
-14, 0.144702
-13, 0.118217
-12, 0.091414
-11, 0.067583
-10, 0.047351
-9, 0.030293
-8, 0.017995
-7, 0.009446
-6, 0.004353
-5, 0.001683
-4, 4.71E-4
-3, 1.32E-4
-2, 2.4E-5
-1, 1.0E-6
0, 0.0
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
