snr,NRZ,NRZT,RZ
-60, 0.499524, 0.498404, 0.499383
-59, 0.49965, 0.499638, 0.498205
-58, 0.498802, 0.4993, 0.498505
-57, 0.49882, 0.499829, 0.49962
-56, 0.498685, 0.499273, 0.498901
-55, 0.498309, 0.499199, 0.49803
-54, 0.498572, 0.498176, 0.498295
-53, 0.498189, 0.498673, 0.497177
-52, 0.499774, 0.497892, 0.498179
-51, 0.498071, 0.498613, 0.497868
-50, 0.497717, 0.498983, 0.49777
-49, 0.49806, 0.497863, 0.497942
-48, 0.496975, 0.498047, 0.497454
-47, 0.497213, 0.496846, 0.497645
-46, 0.495892, 0.497379, 0.496987
-45, 0.495637, 0.495821, 0.496038
-44, 0.495086, 0.49635, 0.496225
-43, 0.494975, 0.495251, 0.495918
-42, 0.495634, 0.495179, 0.494422
-41, 0.493877, 0.494243, 0.495206
-40, 0.49323, 0.493577, 0.493628
-39, 0.492327, 0.493232, 0.493279
-38, 0.490764, 0.49198, 0.492922
-37, 0.489845, 0.491257, 0.491808
-36, 0.488868, 0.48926, 0.490449
-35, 0.488331, 0.489142, 0.488472
-34, 0.486474, 0.486715, 0.48806
-33, 0.485228, 0.485118, 0.485907
-32, 0.482023, 0.48414, 0.484442
-31, 0.481093, 0.483403, 0.482418
-30, 0.478272, 0.479288, 0.479604
-29, 0.4752, 0.477258, 0.478333
-28, 0.472501, 0.473523, 0.475453
-27, 0.469709, 0.47209, 0.47253
-26, 0.465288, 0.468002, 0.468562
-25, 0.461735, 0.464154, 0.464082
-24, 0.456012, 0.459957, 0.46092
-23, 0.45083, 0.454975, 0.45654
-22, 0.445927, 0.449469, 0.451154
-21, 0.438847, 0.442859, 0.444392
-20, 0.430655, 0.437074, 0.438384
-19, 0.423536, 0.429219, 0.430318
-18, 0.414031, 0.419682, 0.422694
-17, 0.402581, 0.41042, 0.413963
-16, 0.391936, 0.400186, 0.402453
-15, 0.379856, 0.387659, 0.391567
-14, 0.364974, 0.37561, 0.378725
-13, 0.348992, 0.360691, 0.364001
-12, 0.331786, 0.344618, 0.349185
-11, 0.313296, 0.32643, 0.331594
-10, 0.292215, 0.30715, 0.313386
-9, 0.269583, 0.286193, 0.293859
-8, 0.245489, 0.261884, 0.271295
-7, 0.219418, 0.23737, 0.249337
-6, 0.192337, 0.212548, 0.225246
-5, 0.165312, 0.18521, 0.200959
-4, 0.137341, 0.157703, 0.176014
-3, 0.110211, 0.13037, 0.151121
-2, 0.084903, 0.102625, 0.127133
-1, 0.061282, 0.078612, 0.104809
0, 0.041173, 0.056542, 0.084969
1, 0.026053, 0.037318, 0.066014
2, 0.014576, 0.023153, 0.050235
3, 0.007075, 0.012878, 0.035964
4, 0.003029, 0.006164, 0.025165
5, 0.001034, 0.002642, 0.016256
6, 2.54E-4, 9.2E-4, 0.009423
7, 4.7E-5, 2.29E-4, 0.004905
8, 9.0E-6, 5.4E-5, 0.002275
9, 1.0E-6, 5.0E-6, 8.93E-4
10, 0.0, 2.0E-6, 2.7E-4
