snr,NRZ
-60, 0.499524
-59, 0.49965
-58, 0.498802
-57, 0.49882
-56, 0.498685
-55, 0.498309
-54, 0.498572
-53, 0.498189
-52, 0.499774
-51, 0.498071
-50, 0.497717
-49, 0.49806
-48, 0.496975
-47, 0.497213
-46, 0.495892
-45, 0.495637
-44, 0.495086
-43, 0.494975
-42, 0.495634
-41, 0.493877
-40, 0.49323
-39, 0.492327
-38, 0.490764
-37, 0.489845
-36, 0.488868
-35, 0.488331
-34, 0.486474
-33, 0.485228
-32, 0.482023
-31, 0.481093
-30, 0.478272
-29, 0.4752
-28, 0.472501
-27, 0.469709
-26, 0.465288
-25, 0.461735
-24, 0.456012
-23, 0.45083
-22, 0.445927
-21, 0.438847
-20, 0.430655
-19, 0.423536
-18, 0.414031
-17, 0.402581
-16, 0.391936
-15, 0.379856
-14, 0.364974
-13, 0.348992
-12, 0.331786
-11, 0.313296
-10, 0.292215
-9, 0.269583
-8, 0.245489
-7, 0.219418
-6, 0.192337
-5, 0.165312
-4, 0.137341
-3, 0.110211
-2, 0.084903
-1, 0.061282
0, 0.041173
1, 0.026053
2, 0.014576
3, 0.007075
4, 0.003029
5, 0.001034
6, 2.54E-4
7, 4.7E-5
8, 9.0E-6
9, 1.0E-6
10, 0.0
