snr,NRZT
-60, 0.498404
-59, 0.499638
-58, 0.4993
-57, 0.499829
-56, 0.499273
-55, 0.499199
-54, 0.498176
-53, 0.498673
-52, 0.497892
-51, 0.498613
-50, 0.498983
-49, 0.497863
-48, 0.498047
-47, 0.496846
-46, 0.497379
-45, 0.495821
-44, 0.49635
-43, 0.495251
-42, 0.495179
-41, 0.494243
-40, 0.493577
-39, 0.493232
-38, 0.49198
-37, 0.491257
-36, 0.48926
-35, 0.489142
-34, 0.486715
-33, 0.485118
-32, 0.48414
-31, 0.483403
-30, 0.479288
-29, 0.477258
-28, 0.473523
-27, 0.47209
-26, 0.468002
-25, 0.464154
-24, 0.459957
-23, 0.454975
-22, 0.449469
-21, 0.442859
-20, 0.437074
-19, 0.429219
-18, 0.419682
-17, 0.41042
-16, 0.400186
-15, 0.387659
-14, 0.37561
-13, 0.360691
-12, 0.344618
-11, 0.32643
-10, 0.30715
-9, 0.286193
-8, 0.261884
-7, 0.23737
-6, 0.212548
-5, 0.18521
-4, 0.157703
-3, 0.13037
-2, 0.102625
-1, 0.078612
0, 0.056542
1, 0.037318
2, 0.023153
3, 0.012878
4, 0.006164
5, 0.002642
6, 9.2E-4
7, 2.29E-4
8, 5.4E-5
9, 5.0E-6
10, 2.0E-6
