snr,NRZ,NRZT,RZ
-60, 0.49755349755349754, 0.49835949835949833, 0.49982749982749985
-59, 0.4985184985184985, 0.49854149854149854, 0.4998994998994999
-58, 0.4983134983134983, 0.49824549824549824, 0.4982024982024982
-57, 0.49746349746349744, 0.4984144984144984, 0.49814049814049816
-56, 0.4972084972084972, 0.496998496998497, 0.4991234991234991
-55, 0.49764749764749766, 0.49704449704449705, 0.4990844990844991
-54, 0.4974064974064974, 0.4970904970904971, 0.49885549885549885
-53, 0.4966264966264966, 0.49604349604349607, 0.4989024989024989
-52, 0.4958564958564959, 0.4961524961524961, 0.4989044989044989
-51, 0.4957134957134957, 0.4955434955434955, 0.49853449853449855
-50, 0.49484549484549484, 0.49522249522249523, 0.4978864978864979
-49, 0.4944094944094944, 0.4935964935964936, 0.498028498028498
-48, 0.49315849315849314, 0.49405149405149407, 0.49752149752149755
-47, 0.4928234928234928, 0.49287349287349286, 0.49694649694649695
-46, 0.4912934912934913, 0.4918374918374918, 0.497991497991498
-45, 0.4911144911144911, 0.4901224901224901, 0.49694449694449694
-44, 0.4898054898054898, 0.48957448957448957, 0.49624449624449624
-43, 0.48752048752048754, 0.4885924885924886, 0.4955334955334955
-42, 0.48585248585248586, 0.48804048804048805, 0.4962174962174962
-41, 0.48493648493648495, 0.4849144849144849, 0.49457049457049457
-40, 0.48234548234548236, 0.48427048427048425, 0.4942344942344942
-39, 0.48034448034448035, 0.48127748127748127, 0.4937834937834938
-38, 0.47854247854247856, 0.48004748004748005, 0.4927774927774928
-37, 0.4755754755754756, 0.477018477018477, 0.4907894907894908
-36, 0.47346547346547346, 0.47454347454347456, 0.4902244902244902
-35, 0.4696734696734697, 0.47027947027947026, 0.4893814893814894
-34, 0.46683946683946687, 0.4678994678994679, 0.48843548843548845
-33, 0.4618274618274618, 0.4630634630634631, 0.48704448704448705
-32, 0.4577914577914578, 0.45896945896945895, 0.48425748425748427
-31, 0.45253245253245256, 0.4528934528934529, 0.4837914837914838
-30, 0.4468114468114468, 0.4495744495744496, 0.48225548225548226
-29, 0.4404784404784405, 0.4419254419254419, 0.47984847984847984
-28, 0.43319243319243317, 0.43478843478843476, 0.47734747734747734
-27, 0.42554542554542557, 0.4276024276024276, 0.4741324741324741
-26, 0.41584641584641585, 0.41895941895941896, 0.47086347086347086
-25, 0.4064024064024064, 0.4083964083964084, 0.46700646700646703
-24, 0.39494739494739495, 0.39783339783339783, 0.464022464022464
-23, 0.38136138136138137, 0.385990385990386, 0.45876045876045873
-22, 0.36752836752836754, 0.37233437233437233, 0.4534024534024534
-21, 0.3525983525983526, 0.3571993571993572, 0.4487984487984488
-20, 0.33657333657333655, 0.3402313402313402, 0.44172144172144173
-19, 0.3173233173233173, 0.3221853221853222, 0.4348724348724349
-18, 0.2966572966572967, 0.3018873018873019, 0.4275024275024275
-17, 0.2737922737922738, 0.28015728015728014, 0.4188054188054188
-16, 0.24975524975524976, 0.25704625704625705, 0.40883240883240884
-15, 0.22448322448322447, 0.23267523267523268, 0.3976913976913977
-14, 0.199009199009199, 0.205002205002205, 0.38603038603038603
-13, 0.17183717183717184, 0.1786061786061786, 0.3715683715683716
-12, 0.1430961430961431, 0.15046315046315045, 0.3576013576013576
-11, 0.11588011588011587, 0.1229101229101229, 0.3398153398153398
-10, 0.08973508973508973, 0.09728309728309728, 0.322964322964323
-9, 0.06601706601706601, 0.0724000724000724, 0.3026153026153026
-8, 0.045563045563045565, 0.051106051106051105, 0.2800932800932801
-7, 0.029028029028029027, 0.03364603364603365, 0.25734525734525737
-6, 0.01678001678001678, 0.020178020178020176, 0.23324323324323323
-5, 0.008653008653008653, 0.011072011072011072, 0.20595520595520594
-4, 0.003661003661003661, 0.005126005126005126, 0.17911417911417912
-3, 0.001299001299001299, 0.001998001998001998, 0.15096515096515095
-2, 4.21000421000421E-4, 7.13000713000713E-4, 0.12344512344512344
-1, 7.4000074000074E-5, 1.47000147000147E-4, 0.09695309695309695
0, 5.000005000005E-6, 2.7000027000027E-5, 0.0724090724090724
1, 0.0, 4.000004000004E-6, 0.050686050686050685
2, 0.0, 0.0, 0.03316803316803317
3, 0.0, 0.0, 0.019924019924019924
4, 0.0, 0.0, 0.010561010561010562
5, 0.0, 0.0, 0.004867004867004867
6, 0.0, 0.0, 0.001836001836001836
7, 0.0, 0.0, 5.39000539000539E-4
8, 0.0, 0.0, 1.43000143000143E-4
9, 0.0, 0.0, 1.5000015000015E-5
10, 0.0, 0.0, 3.000003000003E-6
