snr,NRZ,NRZT,RZ
-1,0.0003350003,0.0005460005,0
-0.9,0.0003000003,0.0004950005,0
-0.8,0.0002580003,0.0004420004,0
-0.7,0.0002230002,0.0003910004,0
-0.6,0.0001950002,0.0003400003,0
-0.5,0.0001700002,0.0003050003,0
-0.4,0.0001470001,0.0002650003,0
-0.3,0.0001280001,0.0002190002,0
-0.2,0.0001060001,0.0001990002,0
-0.1,8.9000089000089E-005,0.0001750002,0
0,7.8000078000078E-005,0.0001560002,0
0.1,6.6000066000066E-005,0.0001420001,0
0.2,5.4000054000054E-005,0.0001240001,0
0.3,0.000043,0.0001050001,0
0.4,0.000039,9.2000092000092E-005,0
0.5,0.000031,8.000008000008E-005,0
0.6,0.000027,6.9000069000069E-005,0
0.7,0.000018,5.9000059000059E-005,0
0.8,0.000016,5.1000051000051E-005,0
0.9,0.000013,0.000043,0
1,0.000009,0.000037,0
1.1,0.000007,0.000029,0
1.2,0.000006,0.000023,0
1.3,0.000005,0.00002,0
1.4,0.000004,0.000016,0
1.5,0.000003,0.000014,0
1.6,0.000001,0.000011,0
1.7,0.000001,0.000008,0
1.8,0.000001,0.000006,0
1.9,0.000001,0.000006,0
2,0.000001,0.000004,0
2.1,0.000001,0.000002,0
2.2,0.000001,0.000002,0
2.3,0.000001,0.000002,0
2.4,0,0.000002,0
2.5,0,0,0
2.6,0,0,0
2.7,0,0,0
2.8,0,0,0
2.9,0,0,0
3,0,0,0
3.1,0,0,0
3.2,0,0,0
3.3,0,0,0
3.4,0,0,0
3.5,0,0,0
3.6,0,0,0
3.7,0,0,0
3.8,0,0,0
3.9,0,0,0
4,0,0,0
4.1,0,0,0
4.2,0,0,0
4.3,0,0,0
4.4,0,0,0
4.5,0,0,0
4.6,0,0,0
4.7,0,0,0
4.8,0,0,0
4.9,0,0,0
5,0,0,0
5.1,0,0,0
5.2,0,0,0
5.3,0,0,0
5.4,0,0,0
5.5,0,0,0
5.6,0,0,0
5.7,0,0,0
5.8,0,0,0
5.9,0,0,0
6,0,0,0
6.1,0,0,0
6.2,0,0,0
6.3,0,0,0
6.4,0,0,0
6.5,0,0,0
6.6,0,0,0
6.7,0,0,0
6.8,0,0,0
6.9,0,0,0
7,0,0,0
7.1,0,0,0
7.2,0,0,0
7.3,0,0,0
7.4,0,0,0
7.5,0,0,0
7.6,0,0,0
7.7,0,0,0
7.8,0,0,0
7.9,0,0,0
8,0,0,0.0004640005
8.1,0,0,0.0004150004
8.2,0,0,0.0003710004
8.3,0,0,0.0003280003
8.4,0,0,0.0002910003
8.5,0,0,0.0002520003
8.6,0,0,0.0002160002
8.7,0,0,0.0001870002
8.8,0,0,0.0001640002
8.9,0,0,0.0001400001
9,0,0,0.0001250001
9.1,0,0,0.0001010001
9.2,0,0,8.7000087000087E-005
9.3,0,0,7.4000074000074E-005
9.4,0,0,6.1000061000061E-005
9.5,0,0,5.3000053000053E-005
9.6,0,0,0.000042
9.7,0,0,0.000037
9.8,0,0,0.000029
9.9,0,0,0.000024
10,0,0,0.000018
10.1,0,0,0.000015
10.2,0,0,0.000012
10.3,0,0,0.000009
10.4,0,0,0.000007
10.5,0,0,0.000005
10.6,0,0,0.000005
10.7,0,0,0.000003
10.8,0,0,0.000003
10.9,0,0,0.000001
11,0,0,0.000001
11.1,0,0,0.000001
11.2,0,0,0.000001
11.3,0,0,0.000001
11.4,0,0,0.000001
11.5,0,0,0.000001
11.6,0,0,0.000001
11.7,0,0,0
11.8,0,0,0
11.9,0,0,0
12,0,0,0
