snr,NRZ,NRZT,RZ
-20, 0.34534034534034536, 0.34945734945734946, 0.44575244575244577
-19, 0.3277083277083277, 0.3322913322913323, 0.43915643915643915
-18, 0.3081903081903082, 0.3132063132063132, 0.43168543168543166
-17, 0.28677028677028676, 0.29235929235929237, 0.42355142355142356
-16, 0.2637972637972638, 0.26977126977126975, 0.4142814142814143
-15, 0.23922223922223923, 0.24556824556824558, 0.40387940387940385
-14, 0.21319221319221318, 0.21997321997321997, 0.3925213925213925
-13, 0.1861121861121861, 0.19329019329019329, 0.37957237957237955
-12, 0.1586061586061586, 0.16587516587516588, 0.36537636537636536
-11, 0.13067313067313066, 0.13833613833613834, 0.34984234984234985
-10, 0.10401910401910403, 0.11112611112611112, 0.3327833327833328
-9, 0.07917507917507917, 0.08599108599108599, 0.31366931366931367
-8, 0.0573020573020573, 0.06335306335306336, 0.2928072928072928
-7, 0.038624038624038626, 0.043975043975043974, 0.27021227021227023
-6, 0.023985023985023984, 0.028387028387028387, 0.24614324614324615
-5, 0.013449013449013449, 0.01657001657001657, 0.22045322045322047
-4, 0.006642006642006642, 0.008654008654008654, 0.19356619356619356
-3, 0.002852002852002852, 0.003941003941003941, 0.16617816617816616
-2, 0.001051001051001051, 0.001573001573001573, 0.13831813831813833
-1, 3.35000335000335E-4, 5.46000546000546E-4, 0.11118511118511118
0, 7.8000078000078E-5, 1.56000156000156E-4, 0.0857950857950858
1, 9.000009000009E-6, 3.7000037000037E-5, 0.06307206307206308
2, 1.000001000001E-6, 4.000004000004E-6, 0.04339004339004339
3, 0.0, 0.0, 0.02769002769002769
4, 0.0, 0.0, 0.01596101596101596
5, 0.0, 0.0, 0.0082000082000082
6, 0.0, 0.0, 0.003646003646003646
7, 0.0, 0.0, 0.001386001386001386
8, 0.0, 0.0, 4.64000464000464E-4
9, 0.0, 0.0, 1.25000125000125E-4
10, 0.0, 0.0, 1.8000018000018E-5
11, 0.0, 0.0, 1.000001000001E-6
12, 0.0, 0.0, 0.0
13, 0.0, 0.0, 0.0
14, 0.0, 0.0, 0.0
15, 0.0, 0.0, 0.0
16, 0.0, 0.0, 0.0
17, 0.0, 0.0, 0.0
18, 0.0, 0.0, 0.0
19, 0.0, 0.0, 0.0
20, 0.0, 0.0, 0.0
