java -Xmx30G Simulateur -mess 999999 -ampl -1 1 -form NRZ -seed 15 -ti 1 60 0.5 
snr,NRZ
-1.0, 3.35000335000335E-4
-0.9, 3.000003000003E-4
-0.8, 2.58000258000258E-4
-0.7, 2.23000223000223E-4
-0.6, 1.95000195000195E-4
-0.5, 1.7000017000017E-4
-0.4, 1.47000147000147E-4
-0.3, 1.28000128000128E-4
-0.2, 1.06000106000106E-4
-0.1, 8.9000089000089E-5
0.0, 7.8000078000078E-5
0.1, 6.6000066000066E-5
0.2, 5.4000054000054E-5
0.3, 4.3000043000043E-5
0.4, 3.9000039000039E-5
0.5, 3.1000031000031E-5
0.6, 2.7000027000027E-5
0.7, 1.8000018000018E-5
0.8, 1.6000016000016E-5
0.9, 1.3000013000013E-5
1.0, 9.000009000009E-6
1.1, 7.000007000007E-6
1.2, 6.000006000006E-6
1.3, 5.000005000005E-6
1.4, 4.000004000004E-6
1.5, 3.000003000003E-6
1.6, 1.000001000001E-6
1.7, 1.000001000001E-6
1.8, 1.000001000001E-6
1.9, 1.000001000001E-6
2.0, 1.000001000001E-6
2.1, 1.000001000001E-6
2.2, 1.000001000001E-6
2.3, 1.000001000001E-6
2.4, 0.0
2.5, 0.0
2.6, 0.0
2.7, 0.0
2.8, 0.0
2.9, 0.0
3.0, 0.0
