java -Xmx30G Simulateur -mess 999999 -ampl -1 1 -form NRZT -seed 15 -ti 1 60 0.5 
snr,NRZT
-1.0, 5.46000546000546E-4
-0.9, 4.95000495000495E-4
-0.8, 4.42000442000442E-4
-0.7, 3.91000391000391E-4
-0.6, 3.4000034000034E-4
-0.5, 3.05000305000305E-4
-0.4, 2.65000265000265E-4
-0.3, 2.19000219000219E-4
-0.2, 1.99000199000199E-4
-0.1, 1.75000175000175E-4
0.0, 1.56000156000156E-4
0.1, 1.42000142000142E-4
0.2, 1.24000124000124E-4
0.3, 1.05000105000105E-4
0.4, 9.2000092000092E-5
0.5, 8.000008000008E-5
0.6, 6.9000069000069E-5
0.7, 5.9000059000059E-5
0.8, 5.1000051000051E-5
0.9, 4.3000043000043E-5
1.0, 3.7000037000037E-5
1.1, 2.9000029000029E-5
1.2, 2.3000023000023E-5
1.3, 2.000002000002E-5
1.4, 1.6000016000016E-5
1.5, 1.4000014000014E-5
1.6, 1.1000011000011E-5
1.7, 8.000008000008E-6
1.8, 6.000006000006E-6
1.9, 6.000006000006E-6
2.0, 4.000004000004E-6
2.1, 2.000002000002E-6
2.2, 2.000002000002E-6
2.3, 2.000002000002E-6
2.4, 2.000002000002E-6
2.5, 0.0
2.6, 0.0
2.7, 0.0
2.8, 0.0
2.9, 0.0
3.0, 0.0
