snr,NRZT
-20, 0.34945734945734946
-19, 0.3322913322913323
-18, 0.3132063132063132
-17, 0.29235929235929237
-16, 0.26977126977126975
-15, 0.24556824556824558
-14, 0.21997321997321997
-13, 0.19329019329019329
-12, 0.16587516587516588
-11, 0.13833613833613834
-10, 0.11112611112611112
-9, 0.08599108599108599
-8, 0.06335306335306336
-7, 0.043975043975043974
-6, 0.028387028387028387
-5, 0.01657001657001657
-4, 0.008654008654008654
-3, 0.003941003941003941
-2, 0.001573001573001573
-1, 5.46000546000546E-4
0, 1.56000156000156E-4
1, 3.7000037000037E-5
2, 4.000004000004E-6
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 0.0
14, 0.0
15, 0.0
16, 0.0
17, 0.0
18, 0.0
19, 0.0
20, 0.0
