snr,NRZT
-1,-32.62806923
-0.9,-33.0539436677
-0.8,-33.5457729636
-0.7,-34.0782280831
-0.6,-34.6852064866
-0.5,-35.1569972636
-0.4,-35.7675369177
-0.3,-36.5955545087
-0.2,-37.011464893
-0.1,-37.5696151702
0,-38.0687496735
0.1,-38.4771122132
0.2,-39.0657788054
0.3,-39.7881026664
0.4,-40.3621173836
0.5,-40.9690957871
0.6,-41.6115047497
0.7,-42.2914755406
0.8,-42.9242938961
0.9,-43.6653111013
1,-44.3179784164
1.1,-45.3760156781
1.2,-46.3827172969
1.3,-46.9896957004
1.4,-47.9587958305
1.5,-48.5387153003
1.6,-49.5860688055
1.7,-50.9690957871
1.8,-52.2184831532
1.9,-52.2184831532
2,-53.9793957438
2.1,-56.9896957004
2.2,-56.9896957004
2.3,-56.9896957004
2.4,-56.9896957004
2.5,
2.6,
2.7,
2.8,
2.9,
3,
