snr,NRZ
-20, 0.34534034534034536
-19, 0.3277083277083277
-18, 0.3081903081903082
-17, 0.28677028677028676
-16, 0.2637972637972638
-15, 0.23922223922223923
-14, 0.21319221319221318
-13, 0.1861121861121861
-12, 0.1586061586061586
-11, 0.13067313067313066
-10, 0.10401910401910403
-9, 0.07917507917507917
-8, 0.0573020573020573
-7, 0.038624038624038626
-6, 0.023985023985023984
-5, 0.013449013449013449
-4, 0.006642006642006642
-3, 0.002852002852002852
-2, 0.001051001051001051
-1, 3.35000335000335E-4
0, 7.8000078000078E-5
1, 9.000009000009E-6
2, 1.000001000001E-6
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
11, 0.0
12, 0.0
13, 0.0
14, 0.0
15, 0.0
16, 0.0
17, 0.0
18, 0.0
19, 0.0
20, 0.0
