snr,NRZ
-1,-34.7495475867
-0.9,-35.2287831099
-0.8,-35.8837985974
-0.7,-36.5169470266
-0.6,-37.0996495434
-0.5,-37.6955064433
-0.4,-38.3268223096
-0.3,-38.9278959606
-0.2,-39.7469370044
-0.1,-40.5060955906
0,-41.0790496301
0.1,-41.8045563016
0.2,-42.6760580588
0.3,-43.6653111013
0.4,-44.0893495868
0.5,-45.0863787187
0.6,-45.6863580155
0.7,-47.447270606
0.8,-47.9587958305
0.9,-48.860562134
1,-50.4575705627
1.1,-51.5490152569
1.2,-52.2184831532
1.3,-53.0102956137
1.4,-53.9793957438
1.5,-55.2287831099
1.6,-59.9999956571
1.7,-59.9999956571
1.8,-59.9999956571
1.9,-59.9999956571
2,-59.9999956571
2.1,-59.9999956571
2.2,-59.9999956571
2.3,-59.9999956571
2.4,
2.5,
2.6,
2.7,
2.8,
2.9,
3,
