java -Xmx30G Simulateur -mess 999999 -ampl -1 1 -form RZ -seed 15 -ti 1 60 0.5 
snr,RZ
8.0, 4.64000464000464E-4
8.1, 4.15000415000415E-4
8.2, 3.71000371000371E-4
8.3, 3.28000328000328E-4
8.4, 2.91000291000291E-4
8.5, 2.52000252000252E-4
8.6, 2.16000216000216E-4
8.7, 1.87000187000187E-4
8.8, 1.64000164000164E-4
8.9, 1.4000014000014E-4
9.0, 1.25000125000125E-4
9.1, 1.01000101000101E-4
9.2, 8.7000087000087E-5
9.3, 7.4000074000074E-5
9.4, 6.1000061000061E-5
9.5, 5.3000053000053E-5
9.6, 4.2000042000042E-5
9.7, 3.7000037000037E-5
9.8, 2.9000029000029E-5
9.9, 2.4000024000024E-5
10.0, 1.8000018000018E-5
10.1, 1.5000015000015E-5
10.2, 1.2000012000012E-5
10.3, 9.000009000009E-6
10.4, 7.000007000007E-6
10.5, 5.000005000005E-6
10.6, 5.000005000005E-6
10.7, 3.000003000003E-6
10.8, 3.000003000003E-6
10.9, 1.000001000001E-6
11.0, 1.000001000001E-6
11.1, 1.000001000001E-6
11.2, 1.000001000001E-6
11.3, 1.000001000001E-6
11.4, 1.000001000001E-6
11.5, 1.000001000001E-6
11.6, 1.000001000001E-6
11.7, 0.0
11.8, 0.0
11.9, 0.0
12.0, 0.0
