snr,RZ
-20, 0.44575244575244577
-19, 0.43915643915643915
-18, 0.43168543168543166
-17, 0.42355142355142356
-16, 0.4142814142814143
-15, 0.40387940387940385
-14, 0.3925213925213925
-13, 0.37957237957237955
-12, 0.36537636537636536
-11, 0.34984234984234985
-10, 0.3327833327833328
-9, 0.31366931366931367
-8, 0.2928072928072928
-7, 0.27021227021227023
-6, 0.24614324614324615
-5, 0.22045322045322047
-4, 0.19356619356619356
-3, 0.16617816617816616
-2, 0.13831813831813833
-1, 0.11118511118511118
0, 0.0857950857950858
1, 0.06307206307206308
2, 0.04339004339004339
3, 0.02769002769002769
4, 0.01596101596101596
5, 0.0082000082000082
6, 0.003646003646003646
7, 0.001386001386001386
8, 4.64000464000464E-4
9, 1.25000125000125E-4
10, 1.8000018000018E-5
11, 1.000001000001E-6
12, 0.0
13, 0.0
14, 0.0
15, 0.0
16, 0.0
17, 0.0
18, 0.0
19, 0.0
20, 0.0
