snr,RZ
8,9.0308998699
8.1,9.0848501888
8.2,9.1381385238
8.3,9.1907809238
8.4,9.2427928606
8.5,9.2941892571
8.6,9.3449845124
8.7,9.3951925262
8.8,9.4448267215
8.9,9.4939000664
9,9.5424250944
9.1,9.5904139232
9.2,9.6378782735
9.3,9.6848294855
9.4,9.731278536
9.5,9.7772360529
9.6,9.8227123304
9.7,9.8677173427
9.8,9.9122607569
9.9,9.956351946
10,10
10.1,10.0432137378
10.2,10.0860017176
10.3,10.1283722471
10.4,10.170333393
10.5,10.2118929907
10.6,10.2530586526
10.7,10.2938377769
10.8,10.3342375549
10.9,10.3742649794
11,10.4139268516
11.1,10.4532297879
11.2,10.4921802267
11.3,10.5307844348
11.4,10.5690485134
11.5,10.6069784035
11.6,10.6445798923
11.7,
11.8,
11.9,
12,
