snr,NRZ
-4,-35.3910172295
-3.9,-35.9859902492
-3.8,-36.7366370478
-3.7,-37.4232099084
-3.6,-38.1247884487
-3.5,-38.7289476734
-3.4,-39.2445260431
-3.3,-39.9999956571
-3.2,-40.6048031309
-3.1,-41.0237247441
-3,-41.5490152569
-2.9,-42.518115387
-2.8,-43.4678705193
-2.7,-44.4369706494
-2.6,-45.3760156781
-2.5,-45.8502621773
-2.4,-46.3827172969
-2.3,-47.6955064433
-2.2,-48.5387153003
-2.1,-49.2081831966
-2,-50.9690957871
-1.9,-52.2184831532
-1.8,-53.9793957438
-1.7,-53.9793957438
-1.6,-53.9793957438
-1.5,-55.2287831099
-1.4,-55.2287831099
-1.3,-55.2287831099
-1.2,-59.9999956571
-1.1,
-1,
