snr,NRZT
-3,-38.9962902059
-2.9,-39.7881026664
-2.8,-40.2687171211
-2.7,-41.0790496301
-2.6,-41.73924763
-2.5,-42.2184831532
-2.4,-42.5963687621
-2.3,-43.7675027531
-2.2,-44.6852064866
-2.1,-45.5284153436
-2,-46.9896957004
-1.9,-47.6955064433
-1.8,-48.2390830665
-1.7,-49.2081831966
-1.6,-50.9690957871
-1.5,-52.2184831532
-1.4,-53.0102956137
-1.3,-53.0102956137
-1.2,-53.9793957438
-1.1,-53.9793957438
-1,-53.9793957438
-0.9,-55.2287831099
-0.8,-56.9896957004
-0.7,-56.9896957004
-0.6,
-0.5,
-0.4,
-0.3,
-0.2,
-0.1,
0,
