snr, NRZ, RZ , NRZT 
-60, 0.496996, 0.498161, 0.498649
-59, 0.497034, 0.497922, 0.497306
-58, 0.495836, 0.497332, 0.497631
-57, 0.496498, 0.497656, 0.496834
-56, 0.495326, 0.496993, 0.495454
-55, 0.494764, 0.496107, 0.494891
-54, 0.493438, 0.496706, 0.495612
-53, 0.494099, 0.49576, 0.49432
-52, 0.49204, 0.494945, 0.492945
-51, 0.491251, 0.494511, 0.493128
-50, 0.491015, 0.494048, 0.491558
-49, 0.48913, 0.492661, 0.491853
-48, 0.487662, 0.492426, 0.489875
-47, 0.486253, 0.490356, 0.487232
-46, 0.485569, 0.489668, 0.486906
-45, 0.482629, 0.489688, 0.484703
-44, 0.481986, 0.487955, 0.482849
-43, 0.478857, 0.486655, 0.480822
-42, 0.476837, 0.483965, 0.479184
-41, 0.473805, 0.481972, 0.476978
-40, 0.471046, 0.479717, 0.472839
-39, 0.467595, 0.478671, 0.470147
-38, 0.463705, 0.474939, 0.466302
-37, 0.458345, 0.472248, 0.46139
-36, 0.453723, 0.468405, 0.457768
-35, 0.448145, 0.464615, 0.452376
-34, 0.441809, 0.460873, 0.446706
-33, 0.43486, 0.456913, 0.441617
-32, 0.426389, 0.450415, 0.433056
-31, 0.419319, 0.444636, 0.425179
-30, 0.408118, 0.438099, 0.416235
-29, 0.396857, 0.431177, 0.406261
-28, 0.384663, 0.422652, 0.393963
-27, 0.371145, 0.413473, 0.381481
-26, 0.356779, 0.402719, 0.368774
-25, 0.339529, 0.390119, 0.352363
-24, 0.32211, 0.377424, 0.335575
-23, 0.302174, 0.36291, 0.317507
-22, 0.280432, 0.34712, 0.297171
-21, 0.25749, 0.330111, 0.27441
-20, 0.231388, 0.310786, 0.251145
-19, 0.205809, 0.289525, 0.226024
-18, 0.178388, 0.267151, 0.199023
-17, 0.149815, 0.243686, 0.171829
-16, 0.122418, 0.217318, 0.14501
-15, 0.096572, 0.189447, 0.116972
-14, 0.071593, 0.162648, 0.091356
-13, 0.050802, 0.134729, 0.066829
-12, 0.032784, 0.107843, 0.047252
-11, 0.019511, 0.08273, 0.030334
-10, 0.010336, 0.059808, 0.017718
-9, 0.004771, 0.040048, 0.009205
-8, 0.001688, 0.024812, 0.004262
-7, 5.18E-4, 0.013905, 0.001633
-6, 1.22E-4, 0.006756, 5.03E-4
-5, 2.1E-5, 0.002691, 1.17E-4
-4, 2.0E-6, 9.52E-4, 1.4E-5
-3, 0.0, 2.14E-4, 0.0
-2, 0.0, 4.4E-5, 0.0
-1, 0.0, 6.0E-6, 0.0
0, 0.0, 0.0, 0.0
1, 0.0, 0.0, 0.0
2, 0.0, 0.0, 0.0
3, 0.0, 0.0, 0.0
4, 0.0, 0.0, 0.0
5, 0.0, 0.0, 0.0
6, 0.0, 0.0, 0.0
7, 0.0, 0.0, 0.0
8, 0.0, 0.0, 0.0
9, 0.0, 0.0, 0.0
10, 0.0, 0.0, 0.0
