snr, NRZ
-60, 0.496996
-59, 0.497034
-58, 0.495836
-57, 0.496498
-56, 0.495326
-55, 0.494764
-54, 0.493438
-53, 0.494099
-52, 0.49204
-51, 0.491251
-50, 0.491015
-49, 0.48913
-48, 0.487662
-47, 0.486253
-46, 0.485569
-45, 0.482629
-44, 0.481986
-43, 0.478857
-42, 0.476837
-41, 0.473805
-40, 0.471046
-39, 0.467595
-38, 0.463705
-37, 0.458345
-36, 0.453723
-35, 0.448145
-34, 0.441809
-33, 0.43486
-32, 0.426389
-31, 0.419319
-30, 0.408118
-29, 0.396857
-28, 0.384663
-27, 0.371145
-26, 0.356779
-25, 0.339529
-24, 0.32211
-23, 0.302174
-22, 0.280432
-21, 0.25749
-20, 0.231388
-19, 0.205809
-18, 0.178388
-17, 0.149815
-16, 0.122418
-15, 0.096572
-14, 0.071593
-13, 0.050802
-12, 0.032784
-11, 0.019511
-10, 0.010336
-9, 0.004771
-8, 0.001688
-7, 5.18E-4
-6, 1.22E-4
-5, 2.1E-5
-4, 2.0E-6
-3, 0.0
-2, 0.0
-1, 0.0
0, 0.0
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
