snr,NRZ,NRZT,RZ
-60, 0.496551, 0.497524, 0.496958
-59, 0.497483, 0.496996, 0.496768
-58, 0.496264, 0.49677, 0.496613
-57, 0.496079, 0.496805, 0.49557
-56, 0.495132, 0.496256, 0.496081
-55, 0.494158, 0.495302, 0.494649
-54, 0.494262, 0.494044, 0.494231
-53, 0.493573, 0.493783, 0.49359
-52, 0.4931, 0.492512, 0.49244
-51, 0.491665, 0.492021, 0.492839
-50, 0.49095, 0.491686, 0.491448
-49, 0.490193, 0.489888, 0.490967
-48, 0.487825, 0.488817, 0.48899
-47, 0.487925, 0.487909, 0.488357
-46, 0.486094, 0.485901, 0.486497
-45, 0.484783, 0.484042, 0.485844
-44, 0.481461, 0.482584, 0.483536
-43, 0.480089, 0.480253, 0.481583
-42, 0.47764, 0.478192, 0.47883
-41, 0.47493, 0.47459, 0.476676
-40, 0.470864, 0.472549, 0.471999
-39, 0.468624, 0.469749, 0.471346
-38, 0.465338, 0.465892, 0.465649
-37, 0.459798, 0.462445, 0.462289
-36, 0.454839, 0.455988, 0.457633
-35, 0.449989, 0.452505, 0.453639
-34, 0.442952, 0.446431, 0.447279
-33, 0.437657, 0.438747, 0.44091
-32, 0.429975, 0.432056, 0.432952
-31, 0.420897, 0.423504, 0.42587
-30, 0.412172, 0.41477, 0.417346
-29, 0.401416, 0.403523, 0.407351
-28, 0.388376, 0.392784, 0.395254
-27, 0.375185, 0.3795, 0.383302
-26, 0.361908, 0.365866, 0.36883
-25, 0.344737, 0.349799, 0.353771
-24, 0.328552, 0.333374, 0.336764
-23, 0.308388, 0.313572, 0.318721
-22, 0.287655, 0.293747, 0.298375
-21, 0.263795, 0.271045, 0.276596
-20, 0.239404, 0.247257, 0.253127
-19, 0.214426, 0.221564, 0.22777
-18, 0.186952, 0.195444, 0.200621
-17, 0.158545, 0.167552, 0.174345
-16, 0.131477, 0.1399, 0.145918
-15, 0.104304, 0.112822, 0.118646
-14, 0.078962, 0.087045, 0.09229
-13, 0.056464, 0.063649, 0.06813
-12, 0.03795, 0.043943, 0.047415
-11, 0.023139, 0.028163, 0.030456
-10, 0.012784, 0.016243, 0.017718
-9, 0.005985, 0.008485, 0.009148
-8, 0.002438, 0.003773, 0.004025
-7, 7.55E-4, 0.001379, 0.001459
-6, 1.91E-4, 4.41E-4, 4.46E-4
-5, 4.2E-5, 1.05E-4, 8.9E-5
-4, 6.0E-6, 1.8E-5, 1.7E-5
-3, 0.0, 3.0E-6, 0.0
-2, 0.0, 0.0, 0.0
-1, 0.0, 0.0, 0.0
0, 0.0, 0.0, 0.0
1, 0.0, 0.0, 0.0
2, 0.0, 0.0, 0.0
3, 0.0, 0.0, 0.0
4, 0.0, 0.0, 0.0
5, 0.0, 0.0, 0.0
6, 0.0, 0.0, 0.0
7, 0.0, 0.0, 0.0
8, 0.0, 0.0, 0.0
9, 0.0, 0.0, 0.0
10, 0.0, 0.0, 0.0
