snr,NRZT
-60, 0.497524
-59, 0.496996
-58, 0.49677
-57, 0.496805
-56, 0.496256
-55, 0.495302
-54, 0.494044
-53, 0.493783
-52, 0.492512
-51, 0.492021
-50, 0.491686
-49, 0.489888
-48, 0.488817
-47, 0.487909
-46, 0.485901
-45, 0.484042
-44, 0.482584
-43, 0.480253
-42, 0.478192
-41, 0.47459
-40, 0.472549
-39, 0.469749
-38, 0.465892
-37, 0.462445
-36, 0.455988
-35, 0.452505
-34, 0.446431
-33, 0.438747
-32, 0.432056
-31, 0.423504
-30, 0.41477
-29, 0.403523
-28, 0.392784
-27, 0.3795
-26, 0.365866
-25, 0.349799
-24, 0.333374
-23, 0.313572
-22, 0.293747
-21, 0.271045
-20, 0.247257
-19, 0.221564
-18, 0.195444
-17, 0.167552
-16, 0.1399
-15, 0.112822
-14, 0.087045
-13, 0.063649
-12, 0.043943
-11, 0.028163
-10, 0.016243
-9, 0.008485
-8, 0.003773
-7, 0.001379
-6, 4.41E-4
-5, 1.05E-4
-4, 1.8E-5
-3, 3.0E-6
-2, 0.0
-1, 0.0
0, 0.0
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
