snr,RZ
-60, 0.496958
-59, 0.496768
-58, 0.496613
-57, 0.49557
-56, 0.496081
-55, 0.494649
-54, 0.494231
-53, 0.49359
-52, 0.49244
-51, 0.492839
-50, 0.491448
-49, 0.490967
-48, 0.48899
-47, 0.488357
-46, 0.486497
-45, 0.485844
-44, 0.483536
-43, 0.481583
-42, 0.47883
-41, 0.476676
-40, 0.471999
-39, 0.471346
-38, 0.465649
-37, 0.462289
-36, 0.457633
-35, 0.453639
-34, 0.447279
-33, 0.44091
-32, 0.432952
-31, 0.42587
-30, 0.417346
-29, 0.407351
-28, 0.395254
-27, 0.383302
-26, 0.36883
-25, 0.353771
-24, 0.336764
-23, 0.318721
-22, 0.298375
-21, 0.276596
-20, 0.253127
-19, 0.22777
-18, 0.200621
-17, 0.174345
-16, 0.145918
-15, 0.118646
-14, 0.09229
-13, 0.06813
-12, 0.047415
-11, 0.030456
-10, 0.017718
-9, 0.009148
-8, 0.004025
-7, 0.001459
-6, 4.46E-4
-5, 8.9E-5
-4, 1.7E-5
-3, 0.0
-2, 0.0
-1, 0.0
0, 0.0
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
