snr, teb
-60, 0.498649
-59, 0.497306
-58, 0.497631
-57, 0.496834
-56, 0.495454
-55, 0.494891
-54, 0.495612
-53, 0.49432
-52, 0.492945
-51, 0.493128
-50, 0.491558
-49, 0.491853
-48, 0.489875
-47, 0.487232
-46, 0.486906
-45, 0.484703
-44, 0.482849
-43, 0.480822
-42, 0.479184
-41, 0.476978
-40, 0.472839
-39, 0.470147
-38, 0.466302
-37, 0.46139
-36, 0.457768
-35, 0.452376
-34, 0.446706
-33, 0.441617
-32, 0.433056
-31, 0.425179
-30, 0.416235
-29, 0.406261
-28, 0.393963
-27, 0.381481
-26, 0.368774
-25, 0.352363
-24, 0.335575
-23, 0.317507
-22, 0.297171
-21, 0.27441
-20, 0.251145
-19, 0.226024
-18, 0.199023
-17, 0.171829
-16, 0.14501
-15, 0.116972
-14, 0.091356
-13, 0.066829
-12, 0.047252
-11, 0.030334
-10, 0.017718
-9, 0.009205
-8, 0.004262
-7, 0.001633
-6, 5.03E-4
-5, 1.17E-4
-4, 1.4E-5
-3, 0.0
-2, 0.0
-1, 0.0
0, 0.0
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
