snr, teb
-60, 0.498161
-59, 0.497922
-58, 0.497332
-57, 0.497656
-56, 0.496993
-55, 0.496107
-54, 0.496706
-53, 0.49576
-52, 0.494945
-51, 0.494511
-50, 0.494048
-49, 0.492661
-48, 0.492426
-47, 0.490356
-46, 0.489668
-45, 0.489688
-44, 0.487955
-43, 0.486655
-42, 0.483965
-41, 0.481972
-40, 0.479717
-39, 0.478671
-38, 0.474939
-37, 0.472248
-36, 0.468405
-35, 0.464615
-34, 0.460873
-33, 0.456913
-32, 0.450415
-31, 0.444636
-30, 0.438099
-29, 0.431177
-28, 0.422652
-27, 0.413473
-26, 0.402719
-25, 0.390119
-24, 0.377424
-23, 0.36291
-22, 0.34712
-21, 0.330111
-20, 0.310786
-19, 0.289525
-18, 0.267151
-17, 0.243686
-16, 0.217318
-15, 0.189447
-14, 0.162648
-13, 0.134729
-12, 0.107843
-11, 0.08273
-10, 0.059808
-9, 0.040048
-8, 0.024812
-7, 0.013905
-6, 0.006756
-5, 0.002691
-4, 9.52E-4
-3, 2.14E-4
-2, 4.4E-5
-1, 6.0E-6
0, 0.0
1, 0.0
2, 0.0
3, 0.0
4, 0.0
5, 0.0
6, 0.0
7, 0.0
8, 0.0
9, 0.0
10, 0.0
