tau,NRZ
45, 1.000001000001E-5
46, 1.6000016000016E-5
47, 1.6000016000016E-5
48, 1.4000014000014E-5
49, 1.3000013000013E-5
50, 1.1000011000011E-5
51, 1.2000012000012E-5
52, 9.000009000009E-6
53, 1.000001000001E-5
54, 7.000007000007E-6
55, 9.000009000009E-6
56, 6.000006000006E-6
57, 6.000006000006E-6
58, 7.000007000007E-6
59, 7.000007000007E-6
60, 1.2000012000012E-5
61, 8.000008000008E-6
62, 1.000001000001E-5
63, 1.2000012000012E-5
64, 1.1000011000011E-5
65, 9.000009000009E-6
66, 1.000001000001E-5
67, 9.000009000009E-6
68, 7.000007000007E-6
69, 1.000001000001E-5
70, 1.000001000001E-5
71, 8.000008000008E-6
72, 1.2000012000012E-5
73, 1.2000012000012E-5
74, 1.4000014000014E-5
75, 1.4000014000014E-5
